,question,answer
1919,GECAM的另一个名称是什么？,极目或怀柔一号
1920,L1级数据文件的命名中包含哪些关键信息？,L1级数据文件的命名中包含以下关键信息：观测日期、开始和结束曝光时间、观测编号、探测器编号、数据类型（L1）及版本号。例如：<DFS>/L1/MSC/SCI/61605/10100029816/CSST_MSC_MS_SCI_20240817060512_20240817060742_10100029816_26_L1_V01.fits。
1921,主巡天模块中的L1级数据文件路径是如何规定的？,主巡天模块中的L1级数据文件路径规定为：<DFS>/L1/MSC/SCI/<观测类型>/<观测编号>/<文件名>。例如：<DFS>/L1/MSC/SCI/61605/10100029816/CSST_MSC_MS_SCI_20240817060512_20240817060742_10100029816_26_L1_V01.fits。
1922,CSST主巡天天体测量的1级数据文件名中L0变为什么表示单帧图像相对定位星表？,CSST主巡天天体测量的1级数据文件名中L0变更为L1_AST表示单帧图像相对定位星表。
1923,"MCI的1级数据文件名中的""channel""代表什么？","MCI的1级数据文件名中的""channel""代表通道编号，是2位字符串，C1、C2、C3代表3个通道。"
1924,"MCI模块中""type""为STAR的数据表示什么类型的观测？","MCI模块中""type""为STAR的数据表示定标星观测。"
1925,IFS的1级数据主要包括哪三种数据类型？,IFS的1级数据主要包括以下三种数据类型：1. 对单次曝光进行处理生成的RSS数据对象及中间文件；2. 对多幅单次曝光叠加后生成的CUBE数据对象；3. 数据处理过程中生成的一级参考数据对象。
1926,"IFS的RSS数据文件名中的""TYPE""是从什么数据继承的？","IFS的RSS数据文件名中的""TYPE""是从0级数据继承的。"
1927,CSST_MCI_C1_EXDF类型的数据表示什么？,CSST_MCI_C1_EXDF类型的数据表示MCI模块中第一个通道对定标星观测的极深场观测数据。
1928,MCI的1级数据包括哪些需要存入数据库的结果文件？,MCI的1级数据包括需要存入数据库的科学图像（IMG）、权重图像（WHT）、特征位图像（FLG）等结果文件。
1929,"IFS的L1级数据文件名中的""camera""指的是什么？","IFS的L1级数据文件名中的""camera""指的是探测器，分别代表红端探测器和蓝端探测器。"
1930,OTF观测模式相对于位置切换模式观测效率提高了多少倍？,OTF观测模式相对于位置切换模式观测效率提高10倍左右。
1931,OTF观测模式可以选择哪些坐标系进行扫描？,OTF观测模式可选择以赤道坐标系为基准，以赤经RA或赤纬DEC方向进行扫描；也可选择以银道坐标系为基准，以银经L或银纬B方向进行扫描。
1932,扫描参数中包含了哪些内容？,扫描参数包含了行采样间隔、天线扫描速度、后端设备采样速度/背景位置、校准黑体和背景的积分时间、每几行观测一次背景位置和校准黑体等。
1933,OTF扫描时，积分频谱数据是与哪些信息一同打包存储的？,在OTF扫描时，积分频谱数据是与头部信息数据一同打包存储的，这些头部信息数据包括在积分过程中综合电控组件根据积分时间等间隔采集的光学平台的位置、姿态和时间等信息。
1934,多功能光学设施的主要科学目标有哪些？,多功能光学设施的主要科学目标包括暗能量、暗物质和宇宙结构形成和演化；星系起源与演化；活动星系核和超大质量黑洞的形成和演化；太阳系外行星、天体测量和太阳系天体研究。
1935,宇宙学研究的主要内容是什么？,宇宙学研究的主要内容是探索宇宙起源与演化、物质组成与性质及基本相互作用规律的科学。
1936,CSST预计在哪一年发射？,CSST预计将于2024年发射。
1937,哪个科学发现揭示了宇宙正在加速膨胀？,1998年，国际上两个小组通过对超新星的观测和分析，独立地发现了宇宙正在加速膨胀。
1938,暗能量的研究需要结合哪些宇宙学探针？,暗能量的研究需要结合多重宇宙学探针，包括超新星 (SNe)、重子声波振荡 (BAO)、红移空间畸变 (RSD)、弱引力透镜 (WL)、宇宙微波背景辐射 (CMB)等。
1939,中国空间站将开展哪个宇宙大尺度结构巡天项目？,中国空间站将开展CSST宇宙大尺度结构巡天项目。
1940,像对齐是处理什么类型的图像？,像对齐是处理单次曝光图像。
1941,超深场图是如何生成的？,超深场图是通过像合并单次曝光图像生成的。
1942,MCI合并星表提取工作包的主要功能是什么？,MCI合并星表提取工作包的主要功能是在生成超深场合并图像之后提取超深场星表，并进行多波段恒星、星系分类。
1943,图像相减工作包负责什么任务？,图像相减工作包负责最近一次观测图像与同一天区、同一滤光片观测图像模板相减。
1944,暂现源alerts工作包是基于什么图像生成alerts的？,暂现源alerts工作包是基于相减图像和基准图像得到暂现源alerts。
1945,变源星表提取工作包的主要输入是什么？,变源星表提取工作包的主要输入是相减图像星表和单次曝光图像星表。
1946,IFS的数据处理流程分为哪四级？,IFS的数据处理流程分为零级数据准备，一级单次处理、一级多次合成、二级数据处理。
1947,IFS零级数据准备有哪些主要功能？,IFS零级数据准备有两个主要功能，包括0级数据可用性检查和0级数据分类和标记。
1948,IFS单次曝光处理包括哪些主要功能？,IFS单次曝光处理包括数据合并、探测器效应改正、宇宙线扣除、光谱成像位置追踪、光谱提取、像元-波长对应关系、波长定标、流量定标、LSF提取、天体测量解算和单次处理数据立方生成等11个主要功能。
1949,IFS二级数据处理的主要功能之一是什么？,IFS二级数据处理的主要功能之一是数据立方光谱质量检验，即检验观测光谱和科学需求相关的参数分布是否满足要求并给出使用建议。
1950,MCI定标灯亮度工作包的主要目的是什么？,MCI定标灯亮度工作包的主要目的是针对MCI探测器内部定标灯亮度，用内部平场数据，扣除暗电流，修正平场和CTE效应，辐射标定后，得到的平场亮度对应定标灯亮度，可以监测定标灯自身亮度变化。
1951,MCI探测器PTC工作包计算了哪些参数？,MCI探测器PTC工作包计算了探测器满阱、增益、非线性、读出噪声、冷热像元等参数。
1952,MCI快门效应工作包是如何形成的？,MCI快门效应工作包是针对MCI快门对曝光的影响，采用内部平场灯进行短曝光（0.1s-10s），短曝光数据通过平场等修正，比较不同曝光时间区域的亮度变化，形成快门效应修正曲线。
1953,MCI探测器监测工作包监测了哪些参数？,MCI探测器监测工作包监测了不同时期探测器的本底、暗电流、读出噪声、波长定标、异常像元、增益等参数和定标灯亮度随时间变化特性。
1954,MCI图像几何畸变工作包包含哪几个模块？,MCI图像几何畸变工作包含有三个模块，分别是图像星表几何畸变、星团观测几何畸变和相对几何畸变。
1955,MCI超级平场工作包的输出是什么？,MCI超级平场工作包的输出是超级平场，为数据处理分析提供高信噪比平场。
1956,L-平场工作包是为了修正什么特性？,L-平场工作包是为了修正MCI外部平场大尺度变化特性，为数据处理分析提供大尺度精确平场。
1957,星团CTE工作包的主要功能是什么？,星团CTE工作包的主要功能是针对MCI电荷转移效率，通过多角度拍摄星场或星团，计算探测器CTE大尺度平场修正参数。
1958,测光零点工作包提供了什么参数？,测光零点工作包提供了MCI系统图像灰度到入射光强转换因子或测光零点参数，对目标进行辐射校正。
1959,点扩散函数工作包是针对MCI的哪个特性？,点扩散函数工作包是针对MCI成像质量特别是点扩散函数特性，为数据处理分析提供点扩散函数。
1960,CPIC在轨定标的数据处理主要关注哪些方面？,CPIC在轨定标的数据处理主要关注图像的稳定性、质量等，通过对定标数据和常规科学观测数据的分析，为数据处理系统CPIC流水线提供必要的定标参考文件。
1961,CPIC定标主要包括哪些内容？,CPIC的定标主要包括图像几何定标、探测器性能分析、辐射标定或测光零点标定等。
1962,CPIC在轨定标需要哪两个主要功能？,CPIC在轨定标需要探测器性能及稳定性监测和测光零点与测光交叉定标这两个主要功能。
1963,太赫兹模块在轨定标主要关注哪些内容？,太赫兹模块在轨定标的数据处理流程主要关注太赫兹性能监测、频率精度定标、太赫兹模块观测效率以及太赫兹模块指向定标等。
1964,太赫兹模块的定标主要包括哪些内容？,太赫兹模块的定标主要包括频率精度定标、太赫兹模块观测效率以及太赫兹模块指向定标等。
1965,0级数据可用性标记工作包的编号是什么？,0级数据可用性标记工作包的编号是KSC-SJB-PK-01。
1966,哪个工作包负责生成及变化分析本底参考图像？,本底参考图像生成及变化分析工作包负责生成及变化分析本底参考图像。
1967,哪个工作包涉及读出噪声的计算及稳定性分析？,读出噪声计算及稳定性分析工作包涉及读出噪声的计算及稳定性分析。
1968,测光零点测量及变化分析由哪个工作包负责？,测光零点测量及变化分析工作包负责测光零点测量及变化分析。
1969,CPIC探测器的暗电流工作包编号是多少？,CPIC探测器的暗电流工作包编号是KSC-SJB-PK-61。
1970,测光零点测量及变化分析工作包属于哪个巡天模块？,巡天模块-多色成像方面
1971,平场立方体参考图像生成及稳定性分析工作包涉及哪个巡天模块？,巡天模块-无缝光谱方面
1972,波长零点获取及稳定性分析是关于什么的？,巡天模块-无缝光谱方面的一个工作包
1973,追迹及光谱轨迹函数变化分析工作包属于哪个方面？,巡天模块-无缝光谱方面
1974,透过率计算及变化分析工作包涉及哪个巡天模块？,巡天模块-无缝光谱方面
1975,光谱PSF 测量及变化分析是关于什么的？,巡天模块-无缝光谱方面的一个工作包，用于光谱点扩散函数的测量及变化分析
1976,探测器本底与噪声工作包（MCI）主要做什么？,探测器本底与噪声的定标工作
1977,滤光片内部平场定标工作包（MCI）的目的是什么？,进行滤光片内部平场的定标工作
1978,星团CTE 工作包（MCI）是关于哪方面的定标？,关于星团电荷转移效率（CTE）的定标工作
1979,辐射亮度定标工作包（IFS）是关于什么的？,辐射亮度的定标工作
1980,IFS流水线中共有多少个具有相对独立功能的工作包？,IFS的两条流水线中共有7个具有相对独立功能的工作包，此外，IFS流水线的开发中还需要一个流水线集成工作包，总共8个工作包。
1981,IFS内部定标数据处理包括哪些内容的处理？,IFS内部定标数据处理包括暗电流、偏置、平场灯、波长定标灯等仪器的参考图像数据的处理。
1982,IFS外部定标数据处理后生成什么文件？,IFS外部定标数据处理后生成各种定标参考文件，并和内部定标参考文件相比较，最终合并生成为打包的IFS外部定标参考文件。
1983,IFS数据处理流水线中哪个工作包负责参考文件的校验与合成？,IFS数据处理流水线中参考文件的校验与合成工作包负责对IFS内部定标和外部定标中得到的参考文件进行比较、校验以及合并，并生成打包的IFS参考文件用于IFS科学数据的处理。
1984,IFS科学数据生成工作包包含哪些功能模块？,IFS科学数据生成工作包由空间位置合并、连续谱测量、连续谱及吸收线特征分析、发射线测量、发射线数据分析及科学数据立方生成六个功能模块构成。
1985,系外行星成像星冕仪预计何时发射入轨？,系外行星成像星冕仪预计将于2024年左右随光学设施发射入轨。
1986,星冕仪模块主要由哪些组件构成？,星冕仪模块主要由衍射杂光抑制器，高阶波像差校正器，高精度稳像系统，激光定标组件，高精度波前探测器，可见光、近红外成像相机等组成。
1987,星冕仪模块具备哪5大功能？,星冕仪模块具备超高对比度测量、高精度稳像、波像差闭环校正、超高对比度自校和对天体科学观测共计5大功能。
1988,星冕仪模块的观测波段是什么？,星冕仪模块的观测波段是可见光至近红外0.6-1.6μm。
1989,星冕仪模块的内角工作距离是多少？,星冕仪模块的内角工作距离是0.55″@600nm。
1990,系外行星特性探测卫星的英文全称是什么？,系外行星特性探测卫星的英文全称是CHaracterising ExOPlanets Satellite（CHEOPS）
1991,CHEOPS的运营方有哪些？,CHEOPS的运营方有瑞士太空局和ESA
1992,CHEOPS的卫星目录序号是多少？,CHEOPS的卫星目录序号是44874
1993,CHEOPS的任务预计时长是多久？,CHEOPS的任务预计时长是3.5年
1994,CHEOPS的有效载荷质量是多少？,CHEOPS的有效载荷质量是58千克（128磅）
1995,CHEOPS是在哪一天发射的？,CHEOPS是在2019年12月18日发射的
1996,CHEOPS使用的运载火箭是什么？,CHEOPS使用的运载火箭是联合系列运载火箭
1997,CHEOPS的发射场在哪里？,CHEOPS的发射场在圭亚那太空中心
1998,CHEOPS的望远镜是什么类型的？,CHEOPS的望远镜是里奇-克莱琴望远镜
1999,CHEOPS望远镜的波长范围是多少？,CHEOPS望远镜的波长范围是400-1100 nm
2000,FGS的原始图像数据和姿态数据的处理结果能用来做什么？,FGS的原始图像数据和与之相关姿态数据的处理结果，可以高精度、高时间分辨率的复原观测现场的情况，得到多维度的和主巡天相机（MSC）图像数据和无缝光谱数据、多通道成像仪（MCI）数据、积分视场光谱仪（IFS）数据、系外行星成像星冕仪（CPIC）数据相关的QC（Quality Control，数据质量控制）指标，来辅助科学数据的处理，提高天体测量精度，排除特殊的情况，保证各级数据及最终科学产品的质量。
2001,CSST科学数据系统需要接收哪些与观测相关的数据？,科学数据系统需要接受和观测相关的工程辅助数据。
2002,工程勤务数据产品中，主动光学上次调整时间的采样频率是怎样的？,主动光学上次调整时间在每次调整过后采样一次，用于标定图像点扩散函数可能因主动光学调整发生变化的时间点。
2003,巡天模块遥测参数中的总控工作模式数据在何时采集？,巡天模块遥测参数中的总控工作模式数据在曝光时采集一次，用于校验观测日志。
2004,热控模块遥测数据中，各镜面测温点的温度采样时机是什么？,热控模块遥测数据中，各镜面测温点的温度在每次曝光前、中、后至少各采样一次，用于后期校准图像点扩散函数进而校正图像和开展数据质量监控使用。
2005,精密稳像模块工程数据中，对卫星平台位置误差的要求是什么？,卫星平台位置误差不大于16.8公里（单倍中误差）。
2006,在曝光期间，后端探测器的电压变化需要采样几次？,在曝光期间，后端探测器的电压变化至少需要采样三次（开始、中间、结束）。
2007,FGS星等范围的数据在每次曝光期间需要采集几次？,FGS星等范围的数据在每次曝光期间需要采集一次，用于提高星场缝合的位置定位精度（短时标）。
2008,波前组件1CMOS1星点质心X坐标在何时采样？,波前组件1CMOS1星点质心X坐标在调焦时每调整一次位置采样一次，用于辅助图像后期点扩散函数重构、盲反卷积计算。
2009,波前组件3CMOS1星点质心Y坐标的采样目的是什么？,波前组件3CMOS1星点质心Y坐标的采样目的是用于辅助图像后期点扩散函数重构、盲反卷积计算。
2010,GAIN3的数值是多少？,GAIN3的数值是32。
2011,RON1的值是如何提供的？,RON1的值在地面测试阶段提供，并写入配置文件。
2012,DETBIA1的值是多少？,DETBIA1的值是103，在地面测试阶段提供，并写入配置文件。
2013,ROSPEED的关键字在哪个数据包中？,ROSPEED的关键字在IFS辅助数据包中，属于工程参数。
2014,CHECKSUM和DATASUM分别代表什么？,从文档中找不到答案
2015,IMG_EXPT关键字在哪个数据包中？,IMG_EXPT关键字在星冕仪图像数据包中。
2016,NCHAN的值对于近红外成像相机是多少？,NCHAN的值对于近红外成像相机是29或32。
2017,EMGAIN关键字在哪个数据包中？,EMGAIN关键字在数字量遥测或可见光图像数据包中。
2018,太赫兹频谱数据包的观测边带参数如何表示？,太赫兹频谱数据包的观测边带参数用SIDEBAND关键字表示，值为0x00表示低边带（高本振LO），0x11表示高边带（低本振LO）。
2019,LO_FRQ关键字代表什么参数？,LO_FRQ关键字代表太赫兹频谱数据包的观测频率参数，具体为SIS1观测时LO频率（低字节有效）。
2020,太赫兹频谱数据包中的CLNA1电压是多少？,32
2021,FPGA_TEM的遥测参数值是多少？,25
2022,频谱主板的电压5V对应的参数名是什么？,FFT_5V
2023,综合电控ADC同源校准电压的参数名是什么？,ASYN_VOL
2024,频谱内部校时信息中的DATASUM值是多少？,112
2025,OBSID中的后端模块是如何表示的？,3bit表示后端模块，其中1=主巡天，2=MCI，3=IFS，4=CPIC，5=HSTDM
2026,主巡天观测类型中，01代表什么？,SCI主巡天宽场
2027,MCI观测类型中，定标星对应的编号是多少？,10
2028,IFS观测类型中的平场观测编号是多少？,22
2029,0级数据定义中，obsid的格式是如何更改的？,obsid的格式从4byte，3bit表示后端模块，4bit表示观测类型，25bit表示曝光编号更改为4byte，3bit表示后端模块，5bit表示观测类型，24bit表示曝光编号。
2030,快门关闭的开始时间是什么？,2024-08-17T06:07:42.1
2031,LEDFLAG的主要和备份值是什么？,main/backup
2032,LED01的闪光时间是多少毫秒？,0
2033,LED的温度是多少开尔文？,173
2034,QC0的版本是什么？,0.0.4
2035,仪器校正的状态是什么？,0
2036,参考暗帧校正的文件名是什么？,从文档中找不到答案
2037,非线性校正的状态是什么？,1
2038,宇宙射线掩码的方法是什么？,deepCR_model
2039,参考快门效应的文件名是什么？,从文档中找不到答案
2040,高精度流量定标的第一个步骤是什么？,高精度流量定标的第一个步骤是分不同类型恒星及数据，收集海量流量标准星表。
2041,更新3D平场模块的输出是什么？,更新3D平场模块的输出是更新后的3D平场。
2042,无缝光谱2级数据可用性标记工作包面向哪一级科学数据？,无缝光谱2级数据可用性标记工作包面向无缝光谱2级科学数据。
2043,MCI数据处理流程从哪一级开始？,从文档中找不到答案
2044,0级科学数据转换到1级科学数据需要利用什么数据？,0级科学数据需要利用参考数据，经过仪器效应改正转换为未定标的1级科学数据及数据对应的权重数据（weight data）、特征位数据（flag data）和文件头数据（head data）。
2045,多通道成像仪位置定标的主要目的是什么？,多通道成像仪位置定标的主要目的是利用3块探测器共同参与，计算得到整个靶面的物理位置与天球坐标的投影映射。
2046,MCI数据处理软件0-1级中有哪个功能是用来检查0级数据的科学可用性的？,MCI数据处理软件0-1级中0级数据可用性标记检查功能是用来检查0级数据的科学可用性的。
2047,在MCI数据处理流程中，1级数据可用性标记检查是在哪一级处理流水线中进行的？,在MCI数据处理流程中，1级数据可用性标记检查是在1级处理流水线中进行的。
2048,MCI数据处理软件1-2级中有哪个功能是用来生成合并的星表的？,MCI数据处理软件1-2级中超深场图像星表提取功能是用来生成合并的星表的。
2049,多通道成像仪2级处理总流水线的哪个流程用于提取暂现源alerts？,多通道成像仪2级处理总流水线的图像相减流水线用于提取暂现源alerts。
2050,超深场分为哪两种？,超深场分为普通超深场和星系团超深场两种。
2051,选择超深场样本时会参考哪些深场选择条件？,"选择超深场样本时会参考哈勃深场，Euclid深场与SKA EoR深场选择，以及将来的WFIRST深场选择条件。同时利用解析和流体模拟研究星系团放大率以及宇宙学与星系团红移、质量、子结构比率、形状等参量之间的关联，从现有星系团列表以及未来的eROSITA, SPT-3G等巡天星系团中选择最适合的星系团超深场样本。"
2052,超深场的主要科学目标分为哪两个方面？,超深场的主要科学目标分为宇宙学方面和星系/活动星系方面。
2053,高红移超新星宇宙学的研究目的是什么？,高红移超新星宇宙学的研究目的是利用高红移超新星进行精确的距离定标观测，从而获得哈勃常数的精确测量，开展宇宙学研究。
2054,利用星系团超深场如何限制宇宙学参数？,利用星系团超深场可以搜索强引力透镜多像系统，并精确测量星系团外围区域弱引力透镜信息，结合强弱引力透镜精确重构星系团质量模型，搜寻星系团超深场区域内的强引力透镜超新星系统，利用其时间延迟效应进一步提高其质量模型精度，结合模拟深入理解各种系统误差对宇宙学参数的影响，从而限制宇宙学参数。
2055,积分视场光谱仪的主要科学目标包括哪些？,积分视场光谱仪的主要科学目标包括：超大质量黑洞和星系的共同演化；星系中特定环境下的恒星形成；近场宇宙中的恒星形成；特殊天体IFS研究及与其它国际项目的协同观测。
2056,IFS如何帮助研究超大质量黑洞和星系的共同演化？,IFS具有高空间分辨率和全光学波段覆盖的优势，非常适合研究星系中心超大质量黑洞附近的各种物理过程，包括星系中心区域、内流和外流、恒星形成和星族分析、并合活动星系核、动力学：轨道和黑洞质量等。
2057,IFS在星系中特定环境下的恒星形成研究中有什么优势？,IFS的高空间分辨本领使其可以对近邻星系一些比较致密的恒星形成区域进行有空间分辨的研究。同时，恒星形成活动在蓝端的辐射较强，IFS的全光学波段覆盖使得这方面的研究相比与其他空间积分视场光谱仪具有较大的优势。
2058,IFS的“近场宇宙”研究主要关注哪些内容？,IFS的“近场宇宙”研究主要关注从“星系考古学”的角度研究星系中各成分集成、演化的主要内容，包括星团和恒星形成区、星云(PNe、超新星遗迹)、LMC/SMC&local group galaxies中的恒星形成区、M31/M33中心等。
2059,IFS与其他国际项目有哪些协同观测的研究内容？,IFS与其他国际项目的协同观测研究内容包括强引力透镜天体中心的后随观测、潮汐瓦解事件（TDEs）、超新星爆发等暂现源的后随观测、协同观测：JWST，ALMA，FAST & SKA、行星科学和近地小天体等。
2060,第5.4.2章中，表4删除了哪个关键字？,LEDEXPT
2061,第5.4.2章中，表4增加了哪些关键字？,LEDT01，LEDT02...LEDT14
2062,MCI模块的文件名中包含哪些关键信息？,从文档中找不到答案
2063,CSST_MCI_C1_STAR文件名示例中，表示观测时间的部分是什么？,20240101120000_20240101120230
2064,IFS的目标类型有几种科学观测模式？,2种，分别为SCIE（IFS为主要观测设备时的科学观测目标）和COMB（IFS为辅助观测设备时的观测目标），或SCI（IFS为主要观测设备时的科学观测目标）和COMB（IFS为辅助观测设备时的观测目标）。
2065,IFS的image data数据应该是几维的矩阵？,IFS的image data数据应该为一个3维的datacube矩阵，但在某些描述中也提到了可以将其看作一个2维矩阵的排列形式。
2066,CPIC模块的TYPE描述中包括几种定标模式？,5种，分别为BIAS（本底）/DARK（暗场）/ FLAT（平场）/BKGD（天空背景定标）/LASER（内部激光器定标），或BIAS（本底）/DARK（暗场）/ FLAT（平场）/BKG（天空背景定标）/LASR（内部激光器定标）。
2067,CPIC模块的科学目标模式有哪些？,3种，分别为SCIE （科学观测）/DENF（密集星场观测）/CALS （定标星观测），或SCI（科学观测）/DSF（密集星场观测）/CALS（定标星观测）。
2068,CSST_CPIC_VIS_SCIE文件名示例中，表示观测开始和结束时间的部分是什么？,20240101120000_20240101120230
2069,第5.4.2章中，表8删除了哪个关键字？,others
2070,巡天运行编排仿真中，运行了多少年的日历时间？,巡天运行编排仿真中，运行的日历时间为10年。
2071,巡天运行编排仿真结果中，红色区域代表什么？,巡天运行编排仿真结果中，红色区域为深场观测天区，面积为400平方度。
2072,观测图像仿真的主要任务是什么？,观测图像仿真的主要任务是从硬件方案和运行条件出发，生成高度可信的、包含各类可观测天体和仪器效应的模拟观测图像，将辅助天文学家进行科学调研和科学软件的研发，是光学设施正式上天观测前最重要的数据来源。
2073,在观测图像仿真中，物理效应模拟包括哪些内容？,在观测图像仿真中，物理效应模拟包括引力透镜效应、天光背景、宇宙线、较差光行差、尘埃消光等。
2074,CSS-OS的g、r、i三个波段的星系数密度分别是多少？,CSS-OS的g、r、i三个波段的星系数密度分别为19.8 gal/arcmin^2、18.2 gal/arcmin^2、18.5 gal/arcmin^2（10𝜎，FWHMgal≥1.25×FWHMPSF）。
2075,无缝光谱图像仿真使用了哪个真实光谱数据？,无缝光谱图像仿真使用了zCOSMOS的真实光谱数据。
2076,MCI的首要任务是什么？,MCI的首要任务是高精度流量定标测光和紫外光学超深场的观测。
2077,MCI的短时标曝光全波段观测模式针对哪些目标？,MCI的短时标曝光全波段观测模式针对太阳系内小行星、彗星的监测，以及银河系内剧烈变化恒星、银河系外超大质量黑洞的短时标监测，可探索目标在分钟量级的高空间分辨率的光变事件。
2078,MCI的固定目标深度曝光模式需要多长时间？,MCI的固定目标深度曝光模式需要阴影区累计14400秒（4小时）曝光。
2079,MCI在不同观测模式下的NUV波段成像深度是多少？,MCI在短时标曝光全波段观测模式下的NUV波段成像深度为22.1 AB星等，在固定目标深度曝光模式下的NUV波段成像深度为26.7 AB星等，在超深场观测模式下的NUV波段成像深度为28.6 AB星等。
2080,载人空间站工程巡天空间望远镜科学数据处理系统主要完成哪三项功能？,载人空间站工程巡天空间望远镜科学数据处理系统主要完成三项功能：科学观测需求编排、数据处理和观测数据仿真。
2081,巡天空间望远镜科学数据处理系统同哪个中心存在接口关系？,巡天空间望远镜科学数据处理系统同有效载荷运行管理中心存在接口关系。
2082,AB星等是什么？,AB星等是一种天文学常用的星等定义，流量零点定义为3631央斯基。
2083,CCD的全称是什么？,CCD的全称是Charge-Coupled Device，即电子耦合元件。
2084,CSST是哪个望远镜的简称？,CSST是中国空间站巡天空间望远镜的简称。
2085,FITS代表什么？,FITS代表Flexible Image Transport System，即普适图像传输系统（天文数据格式标准）。
2086,Gaia是什么项目？,Gaia是欧洲空间局天体测量卫星项目。
2087,IFS代表什么仪器？,IFS代表积分视场光谱仪。
2088,多扩展普适图像传输系统的英文缩写是什么？,多扩展普适图像传输系统的英文缩写是MEF（Multi Extension Fits）。
2089,QC在科学数据处理系统中专指什么？,QC在科学数据处理系统中专指科学可用性标记模块。
2090,eXTP是由哪个国家发起的？,eXTP是由中国发起的一项国际合作X射线科研项目。
2091,eXTP计划大约在哪一年发射升空？,eXTP计划2027年左右发射升空。
2092,eXTP项目于何时正式启动了“深化”背景型号研究？,eXTP项目于2018年3月2日正式启动了“深化”背景型号研究。
2093,eXTP国际财团包括哪些主要机构？,eXTP国际财团包括中国科学院和一些中国大学，以及几个欧洲国家和其他国际合作伙伴。
2094,eXTP天文台的主要研究目标是什么？,eXTP天文台旨在通过X射线研究探索黑洞、中子星等天体，深入理解密度，引力和磁场的极端条件下的物质状态和基本物理规律。
2095,eXTP将观测哪些类型的天体？,eXTP将观测孤立中子星和中子星双星，强磁场系统（如磁星）及恒星质量和超大质量黑洞等天体。
2096,eXTP准备携带哪套科学仪器进行观测？,eXTP准备携带一套独特且前所未有的先进科学仪器，包括能谱测量聚焦望远镜阵列（SFA）、偏振测量聚焦望远镜阵列（PFA）、大面积准直型望远镜阵列（LAD）和广角监视器（WFM）。
2097,eXTP的能谱测量聚焦望远镜阵列的英文缩写是什么？,eXTP的能谱测量聚焦望远镜阵列的英文缩写是SFA。
2098,哪个国家参与了eXTP的LAD的设计和制造？,捷克参与了eXTP的LAD的设计和制造。
2099,eXTP将对X射线的哪些特性进行测量？,eXTP将对天体辐射出的X射线的时变和偏振进行测量。
2100,UFFO计划的全称是什么？,极迅瞬变光源太空观测计划（英语：Ultra-Fast Flash Observation，简称UFFO）
2101,UFFO计划的目标是什么？,监测恒星死亡以及中子星与黑洞撞击产生之伽马射线爆，以了解宇宙之膨胀史。
2102,UFFO计划有哪些国家或地区的团队参与？,参与该计划之团队包含俄罗斯、台湾、韩国、丹麦、西班牙等地之大学或研究机构，其中台湾团队的人数最多。
2103,UFFO计划最初起源于哪个计划？,该计划最初起源于台湾团队所提出的POET计划。
2104,UFFO实验仪器在哪一年进行了热真空测试？,2011年7月12日至7月15日，UFFO实验仪器进行热真空测试。
2105,米哈伊尔·罗蒙诺索夫卫星是由哪颗火箭发射的？,米哈伊尔·罗蒙诺索夫卫星是由俄罗斯的联合号2.1a火箭发射的。
2106,米哈伊尔·罗蒙诺索夫卫星在哪个发射场发射？,米哈伊尔·罗蒙诺索夫卫星在俄罗斯远东地区、靠近中俄边境的阿穆尔州东方航天发射场发射。
2107,UFFO太空望远镜比雨燕卫星快多少倍进行观测？,UFFO太空望远镜在伽马射线爆发生1到2秒内即可锁定光源进行观测，比起在它发射前反应最快的雨燕卫星的60秒钟还要快上数十倍。
2108,UFFO太空望远镜搭载在哪颗卫星上？,UFFO太空望远镜安装在米哈伊尔·罗蒙诺索夫卫星上。
2109,俄罗斯总统普京观看了哪颗卫星的发射？,俄罗斯总统弗拉基米尔·弗拉基米罗维奇·普京观看了米哈伊尔·罗蒙诺索夫卫星的发射。
2110,AMS-02是由哪个组织负责的？,AMS 国际合作
2111,AMS-02是在哪一年发射的？,2011年5月16日
2112,AMS-02的发射地点是哪里？,肯尼迪航天中心 39A发射台
2113,AMS-02的任务期限是多久？,10年或更长
2114,AMS-02的质量是多少？,"14,809 lb (6,717 kg) 或 6731 kg (14,839 lb)"
2115,AMS-02的轨道最小高度和最大高度分别是多少？,最小高度341 km (184 nmi)，最大高度353 km (191 nmi)
2116,AMS-02的轨道周期大约是多少分钟？,91分钟
2117,AMS-02的动力需求是多少瓦特？,2000–2500 瓦特
2118,AMS-02的磁场强度是多少？,0.15 T
2119,AMS-02的总花费大约是多少美元？,15亿美元
2120,星冕仪参考数据（0级）包括哪些处理步骤？,星冕仪参考数据（0级）包括仪器效应修正、图像合并、仪器效应建模等处理步骤。
2121,仪器效应修正工作包主要进行哪些改正？,仪器效应修正工作包主要进行电荷转移噪声处理、坏点标记、overscan和bias处理、饱和点检测标记、暗电流和平场改正以及非线性改正等。
2122,表10.103中，“电子转移噪声改正”的输入是什么？,表10.103中，“电子转移噪声改正”的输入是0级数据图像。
2123,观测效应处理工作包主要处理哪些效应？,观测效应处理工作包主要针对经过仪器效应修正后的图像，进行天空背景和宇宙线等环境效应处理。
2124,1级数据生成工作包生成的图像有哪些类型？,1级数据生成工作包生成的图像包括参考图像、科学图像、MASK图像等星冕仪1级图像。
2125,太赫兹模块数据处理过程中，哪一级处理涉及数据组包？,太赫兹模块数据处理过程中，0级处理涉及数据组包。
